TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-8,CEQ0178,EPL-AR2-Line1,D1012493,1.9,6171-ASM-00000546,21195-200,21195-200,M1000226,2022-10-31,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
DHANN,SLIAO,2021-10-18T06:39:20.3081138+10:00,2021-10-18T06:39:35.6172519+10:00,101274220,682090747,4,True,15308,True,D4:2B:68:DB:37:4E,2408,True,7,True,2,3004,2861,5618,4626,9199,3141,10656,1999,104,7772,6674,563,True,7232,True,2409,True,-55,D4:2B:68:DB:37:4E,811,True,3378,4902,5322,533,True,686,True,CovidHomeAg,4,N/A ,21195-200,Sponsored,2022-10-31,89.1.608,F1000227 COVID Ag,645
DHANN,SLIAO,2021-10-18T06:39:22.4710751+10:00,2021-10-18T06:39:36.3693563+10:00,101274221,682449290,3,True,13898,True,F8:38:D3:48:3D:BF,1997,True,48,True,2,3027,2853,5741,4616,5724,3222,10071,2074,474,7114,6944,16,True,6771,True,2331,True,-52,F8:38:D3:48:3D:BF,1225,True,3330,4714,5105,212,True,679,True,CovidHomeAg,4,N/A ,21195-200,Sponsored,2022-10-31,89.1.608,F1000227 COVID Ag,611
DHANN,SLIAO,2021-10-18T06:39:27.5815394+10:00,2021-10-18T06:39:42.5587555+10:00,101274222,682113409,1,True,14977,True,DD:6E:32:F3:32:42,380,True,231,True,2,3062,2890,5784,4723,8379,3152,14276,1999,315,7798,7213,1450,True,6814,True,2432,True,-51,D2:40:46:D5:49:F0,2119,True,3300,4732,5141,213,True,685,True,CovidHomeAg,4,N/A ,21195-200,Sponsored,2022-10-31,89.1.608,F1000227 COVID Ag,643
DHANN,SLIAO,2021-10-18T06:39:30.9191405+10:00,2021-10-18T06:39:47.8032500+10:00,101274223,682051906,2,False,16884,True,DD:6E:32:F3:32:42,75,True,10,True,2,3084,2981,5876,4894,5391,3200,11021,2090,759,7186,6924,15,True,6771,False,10009
DHANN,SLIAO,2021-10-18T06:39:39.9764510+10:00,2021-10-18T06:39:54.2458830+10:00,101274224,682090747,4,True,14269,True,E6:7D:5A:70:78:91,869,True,168,True,2,3059,2924,5763,4712,8471,3179,14101,2010,320,7046,7832,1027,True,6805,True,2319,True,-51,F5:EE:0C:B2:5B:C0,1468,True,3348,4998,5410,312,True,679,True,CovidHomeAg,4,N/A ,21195-200,Sponsored,2022-10-31,89.1.608,F1000227 COVID Ag,613
DHANN,SLIAO,2021-10-18T06:39:46.4364364+10:00,2021-10-18T06:40:00.1939562+10:00,101274226,682113409,1,True,13757,True,E9:BE:81:85:35:91,1199,True,49,True,2,3072,2937,5763,4766,5895,3147,13689,1989,5,7873,8091,751,True,6808,True,2325,True,-50,FA:14:E0:2F:D9:92,1048,True,3150,4762,5214,274,True,683,True,CovidHomeAg,4,N/A ,21195-200,Sponsored,2022-10-31,89.1.608,F1000227 COVID Ag,611
DHANN,SLIAO,2021-10-18T06:39:43.1714620+10:00,2021-10-18T06:40:01.8496982+10:00,101274225,682449290,3,False,18678,True,F5:D7:F5:F1:1E:EC,896,True,211,True,258,3079,2956,5827,4809,9382,3200,16000,2058,356,7317,8199,752,True,6801,False,10014
DHANN,SLIAO,2021-10-18T06:39:59.2417779+10:00,2021-10-18T06:40:08.1689879+10:00,101274228,682090747,4,False,8927,True,F1:37:4C:EB:21:FD,2057,True,4,True,2,3067,2937,5741,4712,4393,3120,9282,2031,20,7213,7184,15,False,6849
DHANN,SLIAO,2021-10-18T06:39:51.0536943+10:00,2021-10-18T06:40:09.8332984+10:00,101274227,682051906,2,False,18779,True,E2:C4:31:A1:52:E0,1989,True,5,True,2,3051,2915,5758,4760,11015,3173,13826,2026,275,7381,7232,16,True,6753,False,10013
DHANN,SLIAO,2021-10-18T06:40:03.3232598+10:00,2021-10-18T06:40:17.9008177+10:00,101274229,682113409,1,True,14577,True,F7:31:9B:49:B0:78,1891,True,44,True,2,3040,2910,5731,4750,5578,3125,13737,2031,71,7150,8165,16,True,7219,True,2325,True,-50,F7:31:9B:49:B0:78,1389,True,3166,4696,5125,375,True,698,True,CovidHomeAg,4,N/A ,21195-200,Sponsored,2022-10-31,89.1.608,F1000227 COVID Ag,612
